covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
age,0.003244880829110277,1.0032501511538914,0.00845928895730743,-0.013335020862029671,0.019824782520250224,0.986753496630949,1.0200225985788893,0.0,0.38358789320079145,0.7012839146598464,0.5119294575745685
sex,0.5905010663331889,1.8048925597575083,0.21738854522432283,0.16442734704195938,1.0165747856244183,1.178717929096384,2.7637122265250893,0.0,2.7163393808254797,0.006600821523358041,7.243138694445932
traj_label_1,0.7418141811086022,2.09974137232346,0.3103632381453032,0.13351341221858004,1.3501149499986242,1.142836594006519,3.8578689672424487,0.0,2.390148348566031,0.0168415685579723,5.891829678126739
traj_label_2,0.4499186869194033,1.5681846663795853,0.24486601694398857,-0.030009887328588947,0.9298472611673956,0.9704359384820751,2.5341220892073086,0.0,1.8374076261563037,0.06614974185213207,3.9181206633444776
